NDB_No	Nutr_No	Flav_Val (mg Per 100g)	SD	N	Min	Max	CC
9070	735	2.71	0.94	8	1.85	4.9	B
9070	736	6.65	0.78	5	5.96	7.74	B
9070	737	1.82	0.15	5	1.6	2.03	B
9070	738	0	0	5	0	0	B
9078	734	17.71	7.84	10	8.8	33.16	B
9078	735	16.35	5.08	7	8.1	22.16	B
9078	736	56.84	22.92	7	22	84.95	B
9078	737	46.21	26.4	7	7.7	79.99	B
9078	738	217.64	53.97	7	148	276.36	B
9079	734	7.7	0.7	3			C
9081	734	4.43	1.46	9	1.2	6.9	C
9083	734	2.91	0.43	11	2.2	3.56	B
9083	735	2.19	0.49	11	1.2	3	B
9083	736	7.75	2.53	11	2.8	10.6	B
9083	737	7.21	4.38	11	0	10.86	B
9083	738	135.08	39.9	11	98.7	227	B
9086	734	14.2		3			C
9086	735	4.49		3			C
9087	734	1.84	0.48	7	1.28	2.57	A
9087	735	3.02	0.46	7	2.34	3.67	A
9087	736	5.88	0.68	7	4.78	6.7	A
9087	737	0	0	7	0	0	A
9087	738	0	0	7	0	0	A
9088	734	10.62		1			C
9088	735	5.63		1			C
9088	736	10.8		1			C
9088	737	0		1			C
9088	738	0		1			C
9089	734	0.01	0.01	11	0	0.03	A
9089	735	0	0	11	0	0	A
9089	736	0	0	8	0	0	A
9089	737	0	0	8	0	0	A
9089	738	0	0	8	0	0	A
9107	734	1.72	0.66	8	1	2.8	B
9107	735	1.45	0.97	8	0.79	3.7	B
9107	736	4.76	1.74	8	1.3	6.92	B
9107	737	4.74	2.81	8	0	8.55	B
9107	738	68.88	31.09	8	35.4	115	B
9112	734	0	0	3	0	0	B
9112	735	0	0	3	0	0	B
9112	736	0	0	3	0	0	B
9112	737	0	0	3	0	0	B
9112	738	0	0	3	0	0	B
9124	734	0		1			C
9135	734	3.18		2			B
9135	735	1.19	0.94	3	0	1.78	B
9135	736	7.49		2			B
9135	737	6.46		2			B
9135	738	28.37		2			B
9148	734	0.63	0.22	12	0.14	0.87	A
9148	735	0.51	0.19	12	0.11	0.77	A
9148	736	1.25	0.91	9	0	2.43	A
9148	737	0.17	0.26	9	0	0.54	A
9148	738	0	0	9	0	0	A
9159	734	0		1			B
9159	735	0		1			B
9159	736	0		1			B
9159	737	0		1			B
9159	738	0		1			B
9176	734	1.8		1			B
9176	735	1.4		1			B
9176	736	7.2		1			B
9176	737	0		1			B
9176	738	0		1			B
9181	734	0		1			B
9181	735	0		1			B
9181	736	0		1			B
9181	737	0		1			B
9181	738	0		1			B
9184	734	0		1			B
9184	735	0		1			B
9184	736	0		1			B
9184	737	0		1			B
9184	738	0		1			B
9191	734	4.08	5.46	19	0.12	23.52	B
9191	735	1.78	0.76	9	0.68	2.92	A
9191	736	5.67	2.92	9	2.15	10.17	A
9191	737	3.3	2.28	9	0	6.89	A
9191	738	7.53	6.31	9	0	19.08	A
9200	734	0		2	0	0	B
9200	735	0		2	0	0	B
9200	736	0		2	0	0	B
9200	737	0		2	0	0	B
9200	738	0		2	0	0	B
9202	734	0		1			B
9202	735	0		1			B
9202	736	0		1			B
9202	737	0		1			B
9202	738	0		1			B
9209	734	0	0	3	0	0	B
9209	735	0		1			B
9209	736	0		1			B
9209	737	0		1			B
9209	738	0		1			B
9218	734	0		2	0	0	B
9218	735	0		2	0	0	B
9218	736	0		2	0	0	B
9218	737	0		2	0	0	B
9218	738	0		2	0	0	B
9236	734	9.86	6.21	22	3.1	25.2	B
9236	735	4.29	1.42	12	2.74	6.94	A
9236	736	16.51	6.16	9	7.3	26.25	A
9236	737	10.07	4.35	9	3.1	17.1	A
9236	738	21.07	7.77	9	12.74	34.54	A
9241	734	1.24		2	0	2.49	C
9241	735	1.22		2	0	2.44	C
9241	736	1.27		2	0	2.54	C
9241	737	0.09		2	0	0.17	C
9241	738	0		1			B
9252	734	2.03	0.94	18	0.7	4.33	A
9252	735	1.54	0.75	18	0.43	3.36	A
9252	736	5.96	1.49	12	3.7	8.96	A
9252	737	4.69	1.77	12	0.58	8.02	A
9252	738	18.46	14.97	12	0	56.33	A
9266	734	0	0	6	0	0	B
9266	735	0	0	6	0	0	B
9266	736	0	0	3	0	0	B
9266	737	0	0	3	0	0	B
9266	738	0	0	3	0	0	B
9279	734	33.24	16.09	20	2.7	74.02	B
9279	735	20.65	7.32	12	3	31.16	A
9279	736	52.24	20.99	9	5.8	75.7	A
9279	737	30.26	15.32	9	2.1	54.48	A
9279	738	60.52	24.81	9	18.37	98.71	A
9286	734	0.29		3			C
9286	735	0		3			C
9291	734	0		1			B
9291	735	0		1			B
9291	736	0		1			B
9291	737	0		1			B
9291	738	0		1			B
9296	734	2.61		3			C
9296	735	1.22		3			C
9298	734	0		1			B
9298	735	0		1			B
9298	736	0		1			B
9298	737	0		1			B
9298	738	0		1			B
9302	734	11.78	13.46	13	0	40.6	B
9302	735	5.05	4.81	11	0.3	13.92	A
9302	736	8.99	4.99	8	2.83	15.21	A
9302	737	1.13	1.55	8	0	4.39	A
9302	738	0	0	8	0	0	A
9307	734	1.7		1			C
9307	735	1.8		1			C
9307	736	3.4		1			C
9307	737	1.9		1			C
9307	738	79		1			C
9316	734	5.21	2.27	16	0	8.7	A
9316	735	5.66	2.23	15	0.5	9.4	A
9316	736	23.32	8.94	12	10.5	38.95	A
9316	737	16.86	10.83	12	0.55	28.84	A
9316	738	54.18	33.83	12	3.8	97.81	A
9326	734	0		2	0	0	B
9326	735	0		2	0	0	B
9326	736	0		2	0	0	B
9326	737	0		2	0	0	B
9326	738	0		2	0	0	B
9370	734	0.83	0.77	6	0.29	1.88	B
9370	735	0.17	0.15	6	0	0.35	B
9370	736	0.12	0.15	6	0	0.37	B
9370	737	0.01	0.02	3	0	0.03	B
9370	738	0		2	0	0	B
9413	734	2.81	1.25	4	1.55	4.33	B
9413	735	2.29	0.92	4	1.37	3.36	B
9413	736	6.47	1.87	4	4.66	8.96	B
9413	737	4.57	0.97	4	3.68	5.91	B
9413	738	13.11	11.3	4	0.97	23.32	B
9430	734	0	0	7	0	0	A
9430	735	0	0	7	0	0	A
9430	736	0	0	7	0	0	A
