NDB No	Nutr_No	Nutr_Val	Num_Data_Pts	CC
98055	450	8.9	1	
98056	450	3.6	1	
98058	450	8.9	1	
98059	450	12	1	
98060	450	11	1	
98061	450	7.5	1	
98062	450	7.7	1	
98063	450	5.5	1	
98064	450	3.9	1	
98069	450	2.7	1	
98070	450	4	1	
98071	450	4.3	1	
98080	450	3	1	
98082	450	72	3	
98083	450	0.1	1	
98084	450	5.8	2	
98085	450	3.2	6	
98086	450	6	7	
98087	450	5.1	7	
98088	450	5.8	6	
98089	450	4.9	2	
98092	450	0.7	1	
98094	450	2	4	
98095	450	1.3	4	
98096	450	1	13	
98097	450	0.6	11	
98099	450	4.5	1	
98100	450	0.6	2	
98101	450	9.6	1	
98102	450	14	1	
98103	450	3.3	1	
98104	450	3.8	1	
98105	450	4.2	2	
98106	450	2.4	1	
98107	450	0.6	1	
98108	450	4	1	
98110	450	3.1	4	
98111	450	6.3	4	
98112	450	5.3	4	
98114	450	0.5	1	
98116	450	8.1	2	
98119	450	3.8	1	
98121	450	0.6	1	
1001	453	1.2	1	
1009	453	2.3	1	
1012	453	8.4	1	
1014	453	9.2	1	
1015	453	8.1	1	
1017	453	9.3	1	
1029	453	2.7	1	
1040	453	0.6	1	
1046	453	14	1	
1049	453	9	1	
1056	453	7.6	2	
1069	453	1.4	3	
1077	453	7.5	1	
1079	453	10	2	
1082	453	9.8	1	
1085	453	9.7	1	
1103	453	8.2	1	
1117	453	9.1	2	
1121	453	7.8	2	
1123	453	0.6	15	
1124	453	0.6	4	
1125	453	0.9	4	
1128	453	0.6	4	
1129	453	0.5	4	
1199	453	8	1	
2003	453	1.3	1	
2009	453	1	1	
2010	453	0.9	1	
2011	453	1	1	
2015	453	1.1	1	
2020	453	18	1	
2021	453	1.4	1	
2024	453	0.9	1	
2026	453	4.4	1	
2027	453	1.6	1	
2028	453	2	1	
2029	453	1.5	1	
2030	453	0.3	2	
2033	453	1	1	
2043	453	2.3	1	
2044	453	0.7	1	
2046	453	2.4	1	
3003	453	2.3	11	
3006	453	3.2	1	
3011	453	4.3	7	
3013	453	2.1	11	
3016	453	2.4	3	
3054	453	1	3	
3091	453	0.4	2	
3104	453	0.2	2	
3121	453	0.5	1	
3130	453	2.7	2	
3189	453	11	1	
3298	453	1.6	14	
4025	453	2.4	2	
4027	453	1.1	1	
4044	453	0.2	1	
4053	453	0.3	1	
4114	453	1	1	
4582	453	0.1	1	
4585	453	0.8	1	
4613	453	0.3	1	
4629	453	1.3	1	
4636	453	1.4	1	
4638	453	1.8	1	
5006	453	1	1	
5009	453	1.2	1	
5011	453	1.1	1	
5013	453	1.1	1	
5027	453	16	4	
5028	453	8.8	4	
5173	453	0.3	1	
5174	453	3.1	1	
5175	453	0.9	1	
5176	453	1.4	1	
5177	453	17	1	
5178	453	13	1	
5312	453	1.4	1	
5313	453	1.4	2	
5320	453	1.5	1	
5661	453	7.7	4	
6019	453	0.9	2	
6030	453	0.9	1	
6159	453	0.9	1	
6164	453	1	1	
3298	451	1.5	14	
4025	451	0.1	2	
4027	451	0	1	
4044	451	0	1	
4053	451	0	1	
4114	451	0	1	
4582	451	0	1	
4585	451	1.4	1	
4613	451	0.2	1	
4629	451	0.4	1	
4636	451	0.2	1	
4638	451	0.5	1	
5006	451	3.6	1	
5009	451	3.5	1	
5011	451	3.5	1	
5013	451	3.7	1	
5027	451	4.1	4	
5028	451	4.9	4	
5173	451	5	1	
5174	451	3.6	1	
5175	451	3.7	1	
5176	451	3.4	1	
5177	451	2.1	1	
5178	451	2.9	1	
5312	451	1.6	1	
5313	451	1.5	2	
5320	451	1.7	1	
5661	451	6	4	
6019	451	0.4	2	
6030	451	0.4	1	
6159	451	1.1	1	
6164	451	1.3	1	
6931	451	2	2	
7007	451	1.5	2	
7022	451	0.9	2	
7024	451	1.8	4	
7063	451	0.5	4	
7064	451	0.5	5	
7075	451	0.9	1	
7945	451	1.1	2	
7949	451	1.4	2	
7950	451	1.5	3	
7952	451	2	2	
7953	451	0.7	3	
7954	451	1	1	
7955	451	1.2	1	
7956	451	0.9	1	
7957	451	1	1	
7958	451	1.5	1	
7959	451	2.9	3	
7960	451	2.4	1	
8001	451	1.7	1	
8012	451	0.7	1	
8013	451	0	1	
8014	451	0	1	
8020	451	0	1	
8030	451	0.5	1	
8061	451	0.8	1	
8065	451	0	2	
8067	451	0.3	2	
8074	451	0.4	1	
8077	451	0.9	1	
8084	451	2.2	2	
8089	451	0.6	1	
8092	451	0.3	1	
8093	451	0.1	1	
8105	451	0	1	
8121	451	0	1	
8147	451	0.9	1	
8202	451	0.7	1	
8218	451	2	1	
8231	451	0.7	1	
8259	451	0	1	
8333	451	0.1	1	
8363	451	2	2	
8383	451	0.4	1	
8389	451	0.1	1	
8435	451	0.6	1	
8504	451	0.5	2	
8505	451	0.1	1	
8506	451	0	1	
9003	451	0	1	
9032	451	0	1	
9038	451	2.5	2	
9040	451	0.5	1	
9042	451	0	1	
9050	451	0.7	1	
9078	451	0.5	1	
9087	451	0.1	2	
9094	451	0.1	2	
9112	451	0.3	2	
9132	451	0.6	2	
9135	451	0	1	
9148	451	0.5	2	
9160	451	0.7	1	
9181	451	1.1	1	
9191	451	0.6	1	
9202	451	0.5	2	
9209	451	0.4	2	
9214	451	0.6	1	
9218	451	0.6	1	
9236	451	0.5	1	
9252	451	0	3	
9257	451	0	1	
9291	451	0	2	
9298	451	1.1	2	
9302	451	0.6	1	
9316	451	0	1	
9326	451	0.7	1	
9370	451	0.5	1	
9421	451	0	1	
9429	451	0.5	1	
9430	451	0.4	1	
9433	451	0.3	1	
9434	451	0.2	1	
9435	451	0	1	
9436	451	0.3	1	
9437	451	0.1	1	
10006	451	0.6	4	
10007	451	0.4	4	
10060	451	0.6	4	
10061	451	0.7	4	
10066	451	0.8	4	
10068	451	0.6	4	
10084	451	1	4	
10085	451	0.7	4	
10123	451	1.4	4	
10219	451	0.8	4	
10220	451	0.7	4	
10860	451	2.5	4	
10861	451	2.5	4	
10862	451	3	4	
10864	451	0	1	
10865	451	1	1	
10867	451	1.1	2	
10868	451	0.9	4	
10869	451	0.8	2	
10870	451	0.8	2	
10871	451	0.6	2	
10872	451	0.8	2	
10873	451	0.8	2	
10874	451	0.9	2	
10875	451	0.9	1	
10876	451	1	1	
10877	451	0.9	2	
10878	451	0.8	4	
10879	451	0.8	4	
10880	451	0.9	4	
10881	451	0.9	2	
10882	451	0.9	4	
10883	451	1	3	
10884	451	1	4	
10894	451	0.6	1	
10895	451	0.6	1	
10898	451	0.3	1	
10899	451	1	3	
10931	451	0.9	3	
10932	451	0.9	3	
10933	451	1	3	
10934	451	1.1	3	
10938	451	1.1	3	
11001	451	1.8	1	
11008	451	13	1	
11011	451	2.4	1	
11012	451	3.5	1	
11061	451	1.4	1	
11080	451	0.9	1	
11084	451	1.1	2	
11090	451	0.4	2	
11091	451	9.3	1	
11096	451	6.4	2	
11097	451	13	5	
11099	451	0	1	
11109	451	1.3	1	
11110	451	1.4	1	
11112	451	2	1	
11113	451	2.5	1	
11124	451	1.1	1	
11125	451	1.1	1	
11136	451	1.8	1	
11143	451	0.7	2	
11179	451	1.7	1	
11205	451	0.9	1	
11206	451	0.7	1	
11211	451	4	1	
11212	451	2	1	
11234	451	0	1	
11250	451	2.4	2	
11251	451	1.6	3	
11252	451	1.5	2	
11257	451	3.4	1	
11260	451	1.4	1	
11282	451	0.7	1	
11286	451	0.6	1	
11294	451	0.6	2	
11313	451	0.7	1	
11333	451	1.2	1	
11339	451	1.2	1	
11353	451	0.7	1	
11354	451	0.3	2	
11355	451	0.8	3	
11356	451	0.7	3	
11357	451	0.9	2	
11358	451	1.2	2	
11402	451	1	2	
11403	451	1.2	3	
11429	451	1	2	
11439	451	0	2	
11463	451	1.4	3	
11464	451	1.1	2	
11478	451	2.4	1	
11508	451	2.6	2	
11529	451	1.8	2	
11546	451	4.3	1	
11549	451	1.6	1	
11644	451	2.6	1	
11657	451	0.8	1	
11821	451	1	1	
11921	451	1.5	1	
11935	451	1.8	2	
11937	451	0.7	1	
11940	451	0.7	1	
11960	451	0.7	1	
12036	451	1.3	2	
12061	451	1.9	5	
12078	451	0.3	2	
12109	451	2.8	1	
12118	451	0.6	1	
12120	451	0.9	5	
12142	451	1.3	5	
12147	451	2.1	5	
12154	451	0.6	1	
12155	451	0.8	5	
12201	451	2.8	1	
12220	451	0.6	1	
12516	451	2.3	1	
12586	451	0.9	5	
12632	451	1.1	5	
12652	451	8.5	8	
12663	451	3.8	1	
13325	451	12	4	
13326	451	12	4	
13327	451	12	4	
13497	451	0.3	1	
13498	451	0.5	1	
14003	451	0	2	
14006	451	0	2	
14096	451	0	1	
14106	451	0	2	
14150	451	0	1	
14209	451	0	3	
14218	451	0	1	
14242	451	0	1	
14287	451	0	1	
14292	451	0.1	1	
14347	451	1.4	2	
14400	451	0	4	
14416	451	0	2	
14542	451	0	1	
15016	451	1.6	1	
15027	451	0.7	5	
15073	451	2.2	2	
15086	451	1.1	1	
15087	451	0.8	3	
15121	451	0	1	
15138	451	0.2	1	
15141	451	0.3	1	
15152	451	0.8	2	
15232	451	2.3	2	
15236	451	1	1	
15237	451	1.2	1	
15260	451	0.6	4	
15261	451	1.4	3	
15262	451	2.5	1	
16006	451	0.8	1	
16010	451	0.9	1	
16011	451	1	2	
16034	451	0.6	2	
16037	451	0	1	
16038	451	0	1	
16039	451	0.6	2	
16042	451	0.8	1	
16043	451	0.2	4	
16087	451	1.8	4	
16097	451	2.2	3	
16098	451	0.7	2	
16108	451	1.1	2	
16117	451	1.5	2	
16120	451	3.5	1	
16123	451	0.3	1	
16126	451	0	1	
16127	451	0	1	
16147	451	0.2	2	
16399	451	1.8	1	
17202	451	11	2	
17203	451	6.7	2	
17204	451	9.7	2	
18001	451	0.3	2	
18002	451	0.3	2	
18009	451	0.6	1	
18012	451	0	1	
18013	451	0.3	1	
18029	451	0.4	1	
18030	451	0.4	1	
18064	451	0.3	1	
18065	451	0.3	1	
18069	451	0.1	2	
18075	451	0.3	2	
18101	451	0.6	1	
18141	451	0	1	
18159	451	0.5	1	
18173	451	0.4	5	
18215	451	0.8	1	
18228	451	0	1	
18229	451	0	1	
18232	451	0.5	6	
18246	451	0.7	4	
18248	451	0.6	1	
18249	451	0.6	1	
18258	451	0	1	
18259	451	0	1	
18262	451	0.2	1	
18263	451	0.2	1	
18273	451	0.7	1	
18274	451	0.7	1	
18288	451	0.8	1	
18290	451	0	1	
18301	451	0	1	
18360	451	2.7	1	
18363	451	0.2	1	
18364	451	0.2	1	
18375	451	2.6	1	
18452	451	0.6	1	
18488	451	0.6	1	
18489	451	0	1	
18927	451	1.3	1	
18936	451	0.9	2	
18939	451	0.9	1	
19003	451	0	1	
19008	451	0.7	2	
19015	451	0.3	1	
19034	451	0	1	
19035	451	0	2	
19047	451	0.3	2	
6931	453	0.8	2	
7007	453	0.8	2	
7022	453	1.4	2	
7024	453	0.9	4	
7063	453	8.7	4	
7064	453	9.4	5	
7075	453	0.8	1	
7945	453	1.8	2	
7949	453	1.1	2	
7950	453	1.4	3	
7952	453	0.5	2	
7953	453	5.4	3	
7954	453	1.9	1	
7955	453	1.3	1	
7956	453	2.6	1	
7957	453	1.7	1	
7958	453	1.1	1	
7959	453	1	3	
7960	453	0.6	1	
8001	453	4.3	1	
8012	453	1.7	1	
8013	453	10	1	
8014	453	3.6	1	
8020	453	2.1	1	
8030	453	3	1	
8061	453	5	1	
8065	453	3.1	2	
8067	453	4.1	2	
8074	453	4.6	1	
8077	453	0.7	1	
8084	453	18	2	
8089	453	3.7	1	
8092	453	1.4	1	
8093	453	0.4	1	
8105	453	0.7	1	
8121	453	1.6	1	
8147	453	3.2	1	
8202	453	2.1	1	
8218	453	11	1	
8231	453	33	1	
8259	453	1.3	1	
8333	453	2	1	
8363	453	5.9	2	
8383	453	2.1	1	
8389	453	3.4	1	
8435	453	7.1	1	
8504	453	2	2	
8505	453	4.9	1	
8506	453	0.3	1	
9003	453	0	1	
9032	453	0.8	1	
9038	453	0.7	2	
9040	453	5.6	1	
9042	453	0.8	1	
9050	453	0.6	1	
9078	453	1	1	
9087	453	0	2	
9094	453	0.4	2	
9112	453	1.2	2	
9132	453	0	2	
9135	453	0	1	
9148	453	1	2	
9160	453	0.9	1	
9181	453	0.7	1	
9191	453	1.2	1	
9202	453	1.1	2	
9209	453	1.9	2	
9214	453	4.2	1	
9218	453	1	1	
9236	453	1.1	1	
9252	453	0.2	3	
9257	453	1.1	1	
9291	453	0.9	2	
9298	453	0.3	2	
9302	453	1.6	1	
9316	453	0.9	1	
9326	453	0	1	
9370	453	0.9	1	
9421	453	0	1	
9429	453	0	1	
9430	453	0	1	
9433	453	0.5	1	
9434	453	1.2	1	
9435	453	0.5	1	
9436	453	0.3	1	
9437	453	0.9	1	
10006	453	5.7	4	
10007	453	6	4	
10060	453	24	4	
10061	453	17	4	
10066	453	14	4	
10068	453	12	4	
10084	453	11	4	
10085	453	9.1	4	
10123	453	4.6	4	
10219	453	15	4	
10220	453	16	4	
10860	453	14	4	
10861	453	11	4	
10862	453	19	4	
10864	453	0	1	
10865	453	9.6	1	
10867	453	7.8	2	
10868	453	9	4	
10869	453	9	2	
10870	453	7.1	2	
10871	453	6.5	2	
10872	453	8.5	2	
10873	453	15	2	
10874	453	8.1	2	
10875	453	23	1	
10876	453	11	1	
10877	453	9.5	2	
10878	453	10	4	
10879	453	9	4	
10880	453	9.7	4	
10881	453	7.3	2	
10882	453	12	4	
10883	453	9.5	3	
10884	453	12	4	
10894	453	4.8	1	
10895	453	4.3	1	
10898	453	3.5	1	
10899	453	9.8	3	
10931	453	8.2	3	
10932	453	8.2	3	
10933	453	8.6	3	
10934	453	7.7	3	
10938	453	8.1	3	
11001	453	0.6	1	
11008	453	1.1	1	
11011	453	0.6	1	
11012	453	0.9	1	
11061	453	0.8	1	
11080	453	0.6	1	
11084	453	0.6	2	
11090	453	0	2	
11091	453	1.3	1	
11096	453	0	2	
11097	453	2.4	5	
11099	453	3.2	1	
11109	453	2.9	1	
11110	453	4	1	
11112	453	4	1	
11113	453	6.1	1	
11124	453	0	1	
11125	453	0.4	1	
11136	453	0.7	1	
11143	453	0	2	
11179	453	0.6	1	
11205	453	0.5	1	
11206	453	0.5	1	
11211	453	0.3	1	
11212	453	1.5	1	
11234	453	0	1	
11250	453	0	2	
11251	453	0	3	
11252	453	0	2	
11257	453	0	1	
11260	453	5.1	1	
11282	453	0.6	1	
11286	453	0.6	1	
11294	453	0.7	2	
11313	453	0.8	1	
11333	453	0	1	
11339	453	0.5	1	
11353	453	1.7	1	
11354	453	2.6	2	
11355	453	5.7	3	
11356	453	1.6	3	
11357	453	2.7	2	
11358	453	3.8	2	
11402	453	1.4	2	
11403	453	2.6	3	
11429	453	0	2	
11439	453	0.9	2	
11463	453	0.2	3	
11464	453	0	2	
11478	453	0.7	1	
11508	453	2	2	
11529	453	0	2	
11546	453	1.7	1	
11549	453	0.8	1	
11644	453	0.6	1	
11657	453	1.3	1	
11821	453	0.5	1	
11921	453	0.5	1	
11935	453	1.4	2	
11937	453	0.3	1	
11940	453	0.7	1	
11960	453	0	1	
12036	453	5.6	2	
12061	453	1.2	5	
12078	453	1	2	
12109	453	2.8	1	
12118	453	0.6	1	
12120	453	5	5	
12142	453	6.1	5	
12147	453	0.7	5	
12154	453	7.4	1	
12155	453	10	5	
12201	453	3.1	1	
12220	453	3.1	1	
12516	453	0.9	1	
12586	453	3.3	5	
12632	453	1.8	5	
12652	453	1.7	8	
12663	453	3.6	1	
13325	453	85	4	
13326	453	83	4	
13327	453	78	4	
13497	453	2.4	1	
13498	453	2.4	1	
14003	453	4.2	2	
14006	453	2.5	2	
14096	453	1.1	1	
14106	453	1.4	2	
14150	453	0.6	1	
14209	453	0.7	3	
14218	453	8.2	1	
14242	453	0.7	1	
14287	453	0	1	
14292	453	0.6	1	
14347	453	9.3	2	
14400	453	0.4	4	
14416	453	0	2	
14542	453	0.6	1	
15016	453	30	1	
15027	453	13	5	
15073	453	3.6	2	
15086	453	5.9	1	
15087	453	31	3	
15121	453	5.9	1	
15138	453	0.5	1	
15141	453	2.5	1	
15152	453	4.9	2	
15232	453	9.3	2	
15236	453	43	1	
15237	453	41	1	
15260	453	28	4	
15261	453	0.7	3	
15262	453	1.2	1	
16006	453	1.3	1	
16010	453	1.6	1	
16011	453	1.6	2	
16034	453	2.1	2	
16037	453	4.5	1	
16038	453	1.9	1	
16039	453	0.8	2	
16042	453	2.9	1	
16043	453	1.4	4	
16087	453	1.3	4	
16097	453	1.3	3	
16098	453	1.1	2	
16108	453	2.9	2	
16117	453	7	2	
16120	453	1.3	1	
16123	453	0.2	1	
16126	453	0.6	1	
16127	453	0.7	1	
16147	453	1.1	2	
16399	453	1	1	
17202	453	64	2	
17203	453	55	2	
17204	453	57	2	
18001	453	1.9	2	
18002	453	2	2	
18009	453	1.3	1	
18012	453	1.7	1	
18013	453	0.9	1	
18029	453	3.4	1	
18030	453	3.2	1	
18064	453	3.8	1	
18065	453	3.6	1	
18069	453	3.7	2	
18075	453	4.9	2	
18101	453	61	1	
18141	453	1.3	1	
18159	453	1.4	1	
18173	453	3.6	5	
18215	453	2.8	1	
18228	453	6.3	1	
18229	453	3.9	1	
18232	453	3.4	6	
18246	453	2.2	4	
18248	453	3	1	
18249	453	1.9	1	
18258	453	5.7	1	
18259	453	6.9	1	
18262	453	4.5	1	
18263	453	5.4	1	
18273	453	2.9	1	
18274	453	3.6	1	
18288	453	15	1	
18290	453	1.5	1	
18301	453	1	1	
18360	453	3.3	1	
18363	453	2.4	1	
18364	453	1.5	1	
18375	453	16	1	
18452	453	10	1	
18488	453	1.6	1	
18489	453	1.5	1	
18927	453	15	1	
18936	453	12	2	
18939	453	1.5	1	
19003	453	0.7	1	
19008	453	5.9	2	
19015	453	3.9	1	
19034	453	2.4	1	
19035	453	1.8	2	
19047	453	9.8	2	
19056	453	2.7	1	
19057	453	3.5	1	
19058	453	3.8	1	
19076	453	5	1	
19078	453	0.9	1	
19095	453	13	1	
19120	453	22	1	
19141	453	3.9	2	
19183	453	3.6	2	
19226	453	0	1	
19230	453	0	1	
19270	453	11	1	
19296	453	0.7	1	
19297	453	6.7	3	
19304	453	1	1	
19334	453	0.3	2	
19404	453	1.9	1	
19411	453	0	1	
19444	453	1.7	1	
20001	453	6.8	1	
20009	453	1.1	1	
20010	453	0.8	1	
20013	453	0.8	1	
20015	453	0.6	1	
20020	453	2	1	
20022	453	1.3	2	
20033	453	6.2	2	
20035	453	14	1	
20037	453	1.2	1	
20038	453	4.3	1	
20045	453	1	2	
20063	453	5.8	1	
20080	453	2.2	2	
20081	453	1.5	2	
20109	453	2.3	1	
20110	453	0.9	1	
20120	453	1.4	2	
20121	453	0.8	2	
20131	453	2.4	1	
20138	453	1.4	1	
20142	453	1.4	1	
20317	453	0.2	1	
21005	453	2.8	1	
21007	453	2.9	1	
21009	453	3.1	1	
21011	453	4.8	1	
21014	453	3.7	1	
21020	453	3.1	1	
21022	453	2.6	1	
21024	453	2.3	1	
21026	453	1.6	1	
21060	453	1	1	
21064	453	0.8	1	
21078	453	11	1	
21080	453	1.3	1	
21082	453	1	1	
21083	453	1	1	
21089	453	2.9	1	
21098	453	2.6	1	
21100	453	6.2	3	
21102	453	4.2	3	
21106	453	11	2	
21107	453	5.6	6	
21114	453	5.7	2	
21138	453	2.4	3	
21202	453	2.7	3	
21226	453	1.8	1	
21229	453	1.7	5	
21230	453	4.1	1	
21299	453	2.5	8	
21300	453	2.5	7	
21301	453	2.6	3	
21302	453	2.1	7	
21303	453	2.5	7	
21304	453	2	4	
21388	453	2.2	1	
21401	453	1.4	3	
21409	453	2.7	1	
21410	453	2.6	1	
21411	453	2	1	
22247	453	1.1	1	
22902	453	1.6	1	
22903	453	2.1	1	
22904	453	1.5	1	
22905	453	1.1	1	
22912	453	1.1	1	
22916	453	1.1	1	
22927	453	1.2	1	
22928	453	1.1	1	
23030	453	4.8	1	
23031	453	4	1	
23032	453	5.7	1	
23033	453	4.5	1	
23034	453	6.1	1	
23035	453	5.5	1	
23036	453	9.3	1	
23037	453	5.1	1	
23038	453	4.5	1	
23039	453	5.8	1	
23040	453	5.2	1	
23041	453	4.9	1	
23042	453	4.3	1	
23043	453	5.7	1	
23044	453	4	1	
23045	453	6.4	1	
23046	453	4.2	1	
23047	453	5.2	1	
23048	453	5	1	
23049	453	4.7	1	
23050	453	4.6	1	
23051	453	5.8	1	
23052	453	5.9	1	
23065	453	7.8	1	
23557	453	3.3	1	
23558	453	3.3	1	
23562	453	3.2	1	
23563	453	3.1	1	
23567	453	3	1	
23568	453	3	1	
23572	453	2.8	1	
23573	453	2.8	1	
23577	453	2.6	1	
23578	453	2.6	1	
25000	453	2.6	1	
25013	453	2.1	1	
25014	453	3	1	
25017	453	2.5	1	
25020	453	1.9	1	
25021	453	3.2	1	
35009	453	48	1	
35015	453	0.1	1	
35055	453	52	1	
35056	453	24	1	
35149	453	25	4	
35150	453	39	1	
35151	453	53	1	
35152	453	41	1	
35153	453	50	1	
35155	453	1.4	1	
35157	453	29	1	
35158	453	5.1	1	
35160	453	31	1	
35161	453	33	1	
35162	453	6.5	1	
35164	453	20	1	
35165	453	41	1	
35166	453	42	1	
35167	453	24	1	
35168	453	33	1	
35169	453	74	1	
35171	453	100	2	
35179	453	0.1	2	
35180	453	190	1	
35181	453	46	1	
35182	453	1.6	1	
35184	453	0.1	1	
35187	453	1.9	1	
35188	453	23	3	
35190	453	130	2	
35193	453	0.7	1	
35196	453	0.3	1	
42187	453	9.2	1	
42289	453	0.2	2	
43133	453	1.8	1	
43261	453	7.8	1	
98001	453	2.9	1	
98005	453	0.7	1	
98010	453	0	1	
98011	453	0	2	
98013	453	0	2	
98014	453	0.9	1	
98015	453	0	1	
98019	453	1.8	1	
98020	453	1.6	1	
98021	453	1.1	1	
98022	453	9.9	1	
98024	453	2.7	1	
98026	453	1.6	1	
98028	453	0.5	1	
98029	453	0.5	1	
98030	453	6.2	2	
98031	453	16	1	
98032	453	22	1	
98033	453	11	2	
98034	453	13	1	
98035	453	10	1	
98039	453	1.4	1	
98041	453	2.1	1	
98042	453	1.3	3	
98043	453	1.4	2	
98047	453	2.1	1	
98050	453	4.5	1	
98051	453	4	1	
98052	453	2.1	1	
98055	453	5.5	1	
98056	453	2.1	1	
98058	453	1.2	1	
98059	453	0.8	1	
98060	453	1.2	1	
98061	453	1.3	1	
98062	453	0.6	1	
98063	453	15	1	
98064	453	4.9	1	
98069	453	1.4	1	
98070	453	4.8	1	
98071	453	13	1	
98080	453	2.3	1	
98082	453	22	3	
98083	453	0.4	1	
98084	453	0.8	2	
98085	453	1.6	6	
98086	453	1.1	7	
98087	453	1.4	7	
98088	453	0.8	6	
98089	453	0.9	2	
98092	453	2.3	1	
98094	453	6.9	4	
98095	453	8	4	
98096	453	3.2	13	
98097	453	3.4	11	
98099	453	1.9	1	
98100	453	8.7	2	
98101	453	32	1	
98102	453	1.8	1	
98103	453	5	1	
98104	453	0.2	1	
98105	453	0	2	
98106	453	1.4	1	
98107	453	0.3	1	
98108	453	1.8	1	
98110	453	1.8	4	
98111	453	1.1	4	
98112	453	1	4	
98114	453	1	1	
98116	453	3	2	
98119	453	0.5	1	
98121	453	0.3	1	
1001	451	0.7	1	
1009	451	0.6	1	
1012	451	1.3	1	
1014	451	1.6	1	
1015	451	1.3	1	
1017	451	1.5	1	
1029	451	1	1	
1040	451	0	1	
1046	451	2.1	1	
1049	451	1.1	1	
1056	451	1.2	2	
1069	451	0	3	
1077	451	1.9	1	
1079	451	1.6	2	
1082	451	1.9	1	
1085	451	1.7	1	
1103	451	1.1	1	
1117	451	1.7	2	
1121	451	1.6	2	
1123	451	0.6	15	
1124	451	0	4	
1125	451	1	4	
1128	451	0.7	4	
1129	451	0.5	4	
1199	451	1.2	1	
2003	451	0	1	
2009	451	2.2	1	
2010	451	0.8	1	
2011	451	1	1	
2015	451	1.4	1	
2020	451	1.3	1	
2021	451	0.9	1	
2024	451	0.4	1	
2026	451	1.6	1	
2027	451	0	1	
2028	451	3.8	1	
2029	451	6.6	1	
2030	451	0.3	2	
2033	451	0	1	
2043	451	3.2	1	
2044	451	2	1	
2046	451	0.4	1	
3003	451	0.3	11	
3006	451	0.5	1	
3011	451	0.5	7	
3013	451	1.2	11	
3016	451	0.6	3	
3054	451	0.4	3	
3091	451	1.5	2	
3104	451	0.5	2	
3121	451	1	1	
3130	451	0.7	2	
3189	451	0.2	1	
19056	451	0	1	
19057	451	1.7	1	
19058	451	0.5	1	
19076	451	2.9	1	
19078	451	0	1	
19095	451	1.8	1	
19120	451	2.3	1	
19141	451	2	2	
19183	451	0.8	2	
19226	451	0	1	
19230	451	0	1	
19270	451	0.7	1	
19296	451	0.1	1	
19297	451	0.5	3	
19304	451	1.3	1	
19334	451	0.1	2	
19404	451	0.4	1	
19411	451	0	1	
19444	451	0	1	
20001	451	0.2	1	
20009	451	0.7	1	
20010	451	0.7	1	
20013	451	0.7	1	
20015	451	0.3	1	
20020	451	0.3	1	
20022	451	0.1	2	
20033	451	0.3	2	
20035	451	0.4	1	
20037	451	0	1	
20038	451	0.3	1	
20045	451	0	2	
20063	451	0.6	1	
20080	451	0.5	2	
20081	451	0.1	2	
20109	451	0	1	
20110	451	0	1	
20120	451	0	2	
20121	451	0	2	
20131	451	0.9	1	
20138	451	0.4	1	
20142	451	0.2	1	
20317	451	0.1	1	
21005	451	0.5	1	
21007	451	0.7	1	
21009	451	0.4	1	
21011	451	0.4	1	
21014	451	0.7	1	
21020	451	0.4	1	
21022	451	0.5	1	
21024	451	0	1	
21026	451	0.5	1	
21060	451	0	1	
21064	451	0.9	1	
21078	451	0.7	1	
21080	451	0.9	1	
21082	451	1.1	1	
21083	451	0.8	1	
21089	451	1.3	1	
21098	451	1.2	1	
21100	451	1	3	
21102	451	1	3	
21106	451	0.5	2	
21107	451	0.8	6	
21114	451	0.8	2	
21138	451	1.5	3	
21202	451	0.9	3	
21226	451	0.8	1	
21229	451	1.2	5	
21230	451	0.9	1	
21299	451	0.6	8	
21300	451	0.6	7	
21301	451	1	3	
21302	451	0.5	7	
21303	451	0.5	7	
21304	451	0.7	4	
21388	451	0.4	1	
21401	451	0.9	3	
21409	451	0.5	1	
21410	451	0.5	1	
21411	451	0.5	1	
22247	451	0.4	1	
22902	451	0.4	1	
22903	451	1	1	
22904	451	0.6	1	
22905	451	0.7	1	
22912	451	0.4	1	
22916	451	0.9	1	
22927	451	0.2	1	
22928	451	0	1	
23030	451	1	1	
23031	451	1	1	
23032	451	0.9	1	
23033	451	0.9	1	
23034	451	1.5	1	
23035	451	1.5	1	
23036	451	1.5	1	
23037	451	1.2	1	
23038	451	1.1	1	
23039	451	1.2	1	
23040	451	1.3	1	
23041	451	1.7	1	
23042	451	1.9	1	
23043	451	1.5	1	
23044	451	1.9	1	
23045	451	1.6	1	
23046	451	1.1	1	
23047	451	1	1	
23048	451	1.2	1	
23049	451	1	1	
23050	451	0.8	1	
23051	451	0.7	1	
23052	451	0.9	1	
23065	451	1.4	1	
23557	451	0.2	1	
23558	451	0.4	1	
23562	451	0.3	1	
23563	451	0.3	1	
23567	451	0.3	1	
23568	451	0.3	1	
23572	451	0.4	1	
23573	451	0.3	1	
23577	451	0.4	1	
23578	451	0.3	1	
25000	451	0	1	
25013	451	0.2	1	
25014	451	0	1	
25017	451	0.3	1	
25020	451	0.8	1	
25021	451	0.6	1	
35009	451	5.6	1	
35015	451	0.1	1	
35055	451	1.5	1	
35056	451	1.5	1	
35149	451	0.4	4	
35150	451	1.5	1	
35151	451	1.5	1	
35152	451	0.9	1	
35153	451	1.4	1	
35155	451	0.2	1	
35157	451	2	1	
