NDB No	Nutr_No	Nutr_Val	Num_Data_Pts	CC
12201	421	26	1	B
12220	421	79	1	B
12516	421	63	1	C
12586	421	61	5	A
12632	421	45	5	A
12652	421	71	8	A
12663	421	39	1	C
13325	421	330	4	A
13326	421	430	4	A
13327	421	420	4	A
13497	421	78	1	A
13498	421	47	1	A
14003	421	9.9	2	B
14006	421	7.9	2	B
14096	421	5.7	1	B
14106	421	4.7	2	B
14150	421	0.6	1	B
14209	421	2.6	3	A
14218	421	100	1	B
14242	421	1.1	1	B
14287	421	0.1	1	B
14292	421	2	1	B
14347	421	22	2	B
14400	421	0.4	4	B
14416	421	0	2	B
14542	421	1.9	1	B
15016	421	84	1	B
15027	421	36	5	B
15073	421	35	2	B
15086	421	66	1	B
15087	421	83	3	B
15121	421	29	1	B
15138	421	13	1	B
15141	421	34	1	B
15152	421	81	2	B
15232	421	49	2	B
15236	421	79	1	B
15237	421	91	1	B
15260	421	88	4	B
15261	421	43	3	B
15262	421	83	1	B
16006	421	32	1	B
16010	421	25	1	B
16011	421	39	2	B
16034	421	33	2	B
16037	421	87	1	B
16038	421	45	1	B
16039	421	27	2	B
16042	421	66	1	B
16043	421	35	4	A
16087	421	53	4	A
16097	421	61	3	A
16098	421	66	2	B
16108	421	120	2	C
16117	421	190	2	B
16120	421	24	1	B
16123	421	18	1	B
16126	421	28	1	B
16127	421	27	1	B
16147	421	19	2	B
16399	421	95	1	C
17202	421	310	2	B
17203	421	400	2	B
17204	421	410	2	B
18001	421	15	2	B
18002	421	16	2	B
18009	421	8.9	1	B
18012	421	19	1	B
18013	421	20	1	B
18029	421	15	1	B
18030	421	18	1	B
18064	421	19	1	B
18065	421	22	1	B
18069	421	15	2	B
18075	421	27	2	B
18101	421	130	1	B
18141	421	36	1	B
18159	421	17	1	B
18173	421	22	5	B
18215	421	25	1	B
18228	421	20	1	B
18229	421	14	1	B
18232	421	27	6	B
18246	421	22	4	B
18248	421	37	1	B
18249	421	29	1	B
18258	421	14	1	B
18259	421	16	1	B
18262	421	13	1	B
18263	421	15	1	B
18273	421	43	1	B
18274	421	52	1	B
18288	421	31	1	B
18290	421	19	1	B
18301	421	7.2	1	B
18360	421	30	1	B
18363	421	13	1	B
18364	421	7.9	1	B
18375	421	32	1	C
18452	421	21	1	B
18488	421	8.4	1	B
18489	421	7.8	1	B
18927	421	28	1	B
18936	421	28	2	B
18939	421	9.2	1	B
19003	421	12	1	B
19008	421	12	2	B
19015	421	22	1	B
19034	421	21	1	B
19035	421	15	2	B
19047	421	30	2	B
19056	421	19	1	B
19057	421	23	1	B
19058	421	18	1	B
19076	421	19	1	B
19078	421	46	1	B
19095	421	26	1	B
19120	421	46	1	B
19141	421	22	2	B
19183	421	9.5	2	B
19226	421	6.9	1	B
19230	421	2.3	1	B
19270	421	23	1	B
19296	421	2.2	1	B
19297	421	10	3	B
19304	421	13	1	B
19334	421	2.5	2	B
19404	421	17	1	B
19411	421	12	1	B
19444	421	20	1	B
