NDB_No,FDGrp_Cd,Long_Desc
1204,100,"Cheese, parmesan, dry grated, reduced fat"
1205,100,"Cream substitute, flavored, liquid"
1206,100,"Cream substitute, flavored, powdered"
1208,100,"Cheese, provolone, reduced fat"
1209,100,"Cheese, Mexican, blend, reduced fat"
1211,100,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D"
1212,100,"Milk, dry, whole, without added vitamin D"
1214,100,"Milk, canned, evaporated, without added vitamin A and vitamin D"
1215,100,"Cheese product, pasteurized process, american, reduced fat, fortified with vitamin D"
1216,100,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D"
1217,100,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D"
1218,100,"Yogurt, fruit variety, nonfat, fortified with vitamin D"
1219,100,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D"
1220,100,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D"
1221,100,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D"
1222,100,"Yogurt, chocolate, nonfat milk, fortified with vitamin D"
1223,100,"Protein supplement, milk based, Muscle Milk, powder"
1224,100,"Protein supplement, milk based, Muscle Milk Light, powder"
1226,100,"Egg substitute, liquid or frozen, fat free"
2003,200,"Spices, basil, dried"
2005,200,"Spices, caraway seed"
2007,200,"Spices, celery seed"
2009,200,"Spices, chili powder"
2010,200,"Spices, cinnamon, ground"
2011,200,"Spices, cloves, ground"
2012,200,"Spices, coriander leaf, dried"
2014,200,"Spices, cumin seed"
2015,200,"Spices, curry powder"
2020,200,"Spices, garlic powder"
2021,200,"Spices, ginger, ground"
2023,200,"Spices, marjoram, dried"
2024,200,"Spices, mustard seed, ground"
2025,200,"Spices, nutmeg, ground"
2026,200,"Spices, onion powder"
2027,200,"Spices, oregano, dried"
2028,200,"Spices, paprika"
2029,200,"Spices, parsley, dried"
2030,200,"Spices, pepper, black"
2031,200,"Spices, pepper, red or cayenne"
2033,200,"Spices, poppy seed"
2034,200,"Spices, poultry seasoning"
2035,200,"Spices, pumpkin pie spice"
2038,200,"Spices, sage, ground"
2042,200,"Spices, thyme, dried"
2043,200,"Spices, turmeric, ground"
2044,200,"Basil, fresh"
2046,200,"Mustard, prepared, yellow"
2047,200,"Salt, table"
2048,200,"Vinegar, cider"
2052,200,"Vanilla extract, imitation, no alcohol"
2053,200,"Vinegar, distilled"
2054,200,"Capers, canned"
2055,200,"Horseradish, prepared"
3001,300,"Babyfood, juice treats, fruit medley, toddler"
3002,300,"Babyfood, meat, beef, strained"
3003,300,"Babyfood, meat, beef, junior"
3005,300,"Babyfood, meat, veal, strained"
3008,300,"Babyfood, meat, ham, strained"
3010,300,"Babyfood, meat, lamb, strained"
3012,300,"Babyfood, meat, chicken, strained"
3013,300,"Babyfood, meat, chicken, junior"
3014,300,"Babyfood, meat, chicken sticks, junior"
3015,300,"Babyfood, meat, turkey, strained"
3016,300,"Babyfood, meat, turkey, junior"
3017,300,"Babyfood, meat, turkey sticks, junior"
3019,300,Gerber graduates Fruit Strips Real Fruit Bars
3021,300,"Babyfood, meat, meat sticks, junior"
3044,300,"Babyfood, dinner, macaroni and tomato and beef, strained"
3045,300,"Babyfood, dinner, macaroni and tomato and beef, junior"
3046,300,"Babyfood, ravioli, cheese filled, with tomato sauce"
3047,300,"Babyfood, dinner, beef noodle, strained"
3048,300,"Babyfood, macaroni and cheese, toddler"
3050,300,"Babyfood, dinner, spaghetti and tomato and meat, junior"
3052,300,"Babyfood, dinner, beef stew, toddler"
3053,300,"Babyfood, dinner, vegetables and beef, strained"
3054,300,"Babyfood, dinner, vegetables and beef, junior"
3055,300,"Babyfood, dinner, beef with vegetables"
3059,300,"Babyfood, dinner, vegetables and bacon, strained"
3061,300,"Babyfood, dinner, vegetables and ham, strained"
3062,300,"Babyfood, dinner, vegetables and ham, junior"
3066,300,"Babyfood, dinner, vegetables and lamb, strained"
3068,300,"Babyfood, dinner, chicken noodle, strained"
3069,300,"Babyfood, dinner, chicken noodle, junior"
3070,300,"Babyfood, dinner, chicken soup, strained"
3072,300,"Babyfood, dinner, chicken stew, toddler"
3073,300,"Babyfood, dinner, vegetables chicken, strained"
3077,300,"Babyfood, dinner, pasta with vegetables"
3082,300,"Babyfood, dinner, turkey and rice, strained"
3083,300,"Babyfood, dinner, turkey and rice, junior"
3084,300,"Babyfood, dinner, vegetables and turkey, strained"
3085,300,"Babyfood, dinner, vegetables and turkey, junior"
3089,300,"Babyfood, dinner, macaroni and cheese, strained"
3090,300,"Babyfood, dinner, macaroni and cheese, junior"
3091,300,"Babyfood, vegetables, green beans, strained"
3092,300,"Babyfood, vegetables, green beans, junior"
3093,300,"Babyfood, green beans, dices, toddler"
3096,300,"Babyfood, vegetable, green beans and potatoes"
3098,300,"Babyfood, vegetables, beets, strained"
3099,300,"Babyfood, vegetables, carrots, strained"
3100,300,"Babyfood, vegetables, carrots, junior"
3104,300,"Babyfood, vegetables, squash, strained"
3105,300,"Babyfood, vegetables, squash, junior"
3108,300,"Babyfood, vegetables, sweet potatoes strained"
3109,300,"Babyfood, vegetables, sweet potatoes, junior"
3112,300,"Babyfood, potatoes, toddler"
3114,300,"Babyfood, vegetable, butternut squash and corn"
3115,300,"Babyfood, apples, dices, toddler"
3116,300,"Babyfood, fruit, applesauce, strained"
3117,300,"Babyfood, fruit, applesauce, junior"
3118,300,"Babyfood, fruit, apricot with tapioca, strained"
3119,300,"Babyfood, vegetables, corn, creamed, strained"
3120,300,"Babyfood, vegetables, corn, creamed, junior"
3121,300,"Babyfood, vegetables, peas, strained"
3122,300,"Babyfood, peas, dices, toddler"
3127,300,"Babyfood, vegetables, spinach, creamed, strained"
3128,300,"Babyfood, fruit, apricot with tapioca, junior"
3129,300,"Babyfood, fruit, bananas with tapioca, strained"
3130,300,"Babyfood, fruit, peaches, strained"
3131,300,"Babyfood, fruit, peaches, junior"
3132,300,"Babyfood, fruit, pears, strained"
3133,300,"Babyfood, fruit, pears, junior"
3134,300,"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained"
3135,300,"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior"
3136,300,"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained"
3139,300,"Babyfood, prunes, without vitamin c, strained"
3140,300,"Babyfood, fruit dessert, mango with tapioca"
3141,300,"Babyfood, pears, dices, toddler"
3142,300,"Babyfood, fruit, applesauce and apricots, strained"
3143,300,"Babyfood, fruit, applesauce and apricots, junior"
3144,300,"Babyfood, fruit, applesauce and cherries, strained"
3145,300,"Babyfood, fruit, applesauce and cherries, junior"
3147,300,"Babyfood, fruit, applesauce with banana, junior"
3152,300,"Babyfood, fruit, apple and raspberry, strained"
3153,300,"Babyfood, fruit, apple and raspberry, junior"
3154,300,"Babyfood, fruit and vegetable, apple and sweet potato"
3156,300,"Babyfood, fruit, bananas and pineapple with tapioca, junior"
3157,300,"Babyfood, fruit, bananas and pineapple with tapioca, strained"
3158,300,"Babyfood, fruit, pears and pineapple, strained"
3159,300,"Babyfood, fruit, pears and pineapple, junior"
3161,300,"Babyfood, peaches, dices, toddler"
3163,300,"Babyfood, fruit, bananas with apples and pears, strained"
3164,300,"Babyfood, fruit, apple and blueberry, strained"
3165,300,"Babyfood, fruit, apple and blueberry, junior"
3166,300,"Babyfood, juice, apple"
3167,300,"Babyfood, apple-banana juice"
3168,300,"Babyfood, juice, apple and peach"
3169,300,"Babyfood, apple-cranberry juice"
3170,300,"Babyfood, juice, apple and plum"
3171,300,"Babyfood, juice, apple and prune"
3172,300,"Babyfood, juice, orange"
3174,300,"Babyfood, juice, orange and apple and banana"
3179,300,"Babyfood, juice, mixed fruit"
3181,300,"Babyfood, cereal, barley, dry"
3184,300,"Babyfood, cereal, whole wheat, with apples, dry"
3185,300,"Babyfood, cereal, mixed, dry"
3186,300,"Babyfood, cereal, mixed, with bananas, dry"
3187,300,"Babyfood, cereal, mixed, with applesauce and bananas, strained"
3188,300,"Babyfood, cereal, mixed, with applesauce and bananas, junior"
3189,300,"Babyfood, cereal, oatmeal, dry"
3190,300,"Babyfood, cereal, oatmeal, with bananas, dry"
3191,300,"Babyfood, cereal, oatmeal, with applesauce and bananas, strained"
3192,300,"Babyfood, cereal, oatmeal, with applesauce and bananas, junior"
3194,300,"Babyfood, cereal, rice, dry"
3195,300,"Babyfood, cereal, rice, with applesauce and bananas, strained"
3205,300,"Babyfood, oatmeal cereal with fruit, dry, instant, toddler"
3206,300,"Babyfood, cookie, baby, fruit"
3209,300,"Babyfood, crackers, vegetable"
3210,300,"Babyfood, cereal, rice, with mixed fruit, junior"
3212,300,"Babyfood, cereal, rice, with bananas, dry"
3213,300,"Babyfood, cookies"
3215,300,"Babyfood, pretzels"
3216,300,"Babyfood, teething biscuits"
3217,300,Zwieback
3220,300,"Babyfood, dessert, dutch apple, strained"
3221,300,"Babyfood, dessert, dutch apple, junior"
3222,300,"Babyfood, cherry cobbler, junior"
3224,300,"Babyfood, dessert, cherry vanilla pudding, strained"
3225,300,"Babyfood, dessert, cherry vanilla pudding, junior"
3227,300,"Babyfood, dessert, peach cobbler, strained"
3228,300,"Babyfood, dessert, peach cobbler, junior"
3233,300,"Babyfood, dessert, fruit pudding, pineapple, strained"
3235,300,"Babyfood, dessert, fruit dessert, without ascorbic acid, strained"
3236,300,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior"
3245,300,"Babyfood, dessert, custard pudding, vanilla, strained"
3246,300,"Babyfood, dessert, custard pudding, vanilla, junior"
3265,300,"Babyfood, juice, apple and grape"
3267,300,"Babyfood, juice, fruit punch, with calcium"
3268,300,"Babyfood, juice, apple and cherry"
3269,300,"Babyfood, juice, apple, with calcium"
3274,300,"Babyfood, dinner, vegetables and chicken, junior"
3280,300,"Babyfood, fruit, bananas with tapioca, junior"
3282,300,"Babyfood, vegetables, mix vegetables junior"
3283,300,"Babyfood, vegetables, garden vegetable, strained"
3286,300,"Babyfood, vegetables, mix vegetables strained"
3287,300,"Babyfood, dinner, beef noodle, junior"
3289,300,"Babyfood, apples with ham, strained"
3290,300,"Babyfood, carrots and beef, strained"
3293,300,"Babyfood, plums, bananas and rice, strained"
3296,300,"Babyfood, dinner, turkey, rice, and vegetables, toddler"
3297,300,"Babyfood, dinner, apples and chicken, strained"
3298,300,"Babyfood, dinner, broccoli and chicken, junior"
3303,300,"Babyfood, dinner, sweet potatoes and chicken, strained"
3304,300,"Babyfood, dinner, potatoes with cheese and ham, toddler"
3800,300,"Infant formula, NESTLE, GOOD START SUPREME, with iron, ready-to-feed"
3801,300,"Infant formula, NESTLE, GOOD START SUPREME, with iron, liquid concentrate, not reconstituted"
3802,300,"Infant formula, NESTLE, GOOD START SUPREME, with iron, powder"
3803,300,"Infant formula, MEAD JOHNSON, ENFAMIL, with iron, ready-to-feed"
3804,300,"Infant formula, MEAD JOHNSON, ENFAMIL, with iron, liquid concentrate, not reconstituted"
3805,300,"Infant formula, MEAD JOHNSON, ENFAMIL, with iron, powder"
3806,300,"Infant formula, MEAD JOHNSON, ENFAMIL, low iron, ready-to-feed"
3807,300,"Infant formula, MEAD JOHNSON, ENFAMIL, low iron, liquid concentrate, not reconstituted"
3808,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, with iron, powder, with ARA and DHA"
3809,300,"Infant formula, MEAD JOHNSON, ENFAMIL, low iron, powder, not reconstituted"
3812,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, with iron, liquid concentrate, with ARA and DHA"
3813,300,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, ready-to-feed"
3814,300,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, powder, not reconstituted"
3815,300,"Infant formula, MEAD JOHNSON, ENFAMIL LIPIL, with iron, ready-to-feed, with ARA and DHA"
3816,300,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, liquid concentrate, not reconstituted"
3817,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, low iron, powder, with ARA and DHA"
3819,300,"Child formula, MEAD JOHNSON, PORTAGEN, with iron, powder, not reconstituted"
3820,300,"Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder"
3821,300,"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, not reconstituted"
3822,300,"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, prepared from powder"
3823,300,"Infant formula, MEAD JOHNSON, PROSOBEE, with iron, ready-to-feed"
3824,300,"Infant formula, MEAD JOHNSON, PROSOBEE, with iron, liquid concentrate, not reconstituted"
3826,300,"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, with iron, powder, not reconstituted"
3827,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFREE LIPIL, with iron, powder, with ARA and DHA"
3830,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFREE, LIPIL, with iron, liquid concentrate, not reconstituted, with ARA and DHA"
3832,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, ready-to-feed, with ARA and DHA"
3837,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder, not reconstituted (formerly ROSS)"
3838,300,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, powder, not reconstituted, with ARA and DHA"
3839,300,"Infant formula, ABBOTT NUTRITION, SIMILAC NATURAL CARE, ADVANCE, ready-to-feed, with ARA and DHA (formerly ROSS)"
3840,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, SPECIAL CARE, ADVANCE 24, with iron, ready-to-feed, with ARA and DHA, (formerly ROSS)"
3841,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, ready-to-feed, (formerly ROSS)"
3842,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, liquid concentrate, (formerly ROSS)"
3843,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted, (formerly ROSS)"
3844,300,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, LIPIL, with iron, liquid concentrate not reconstituted, with ARA and DHA"
3845,300,"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, with iron, ready to feed, with ARA and DHA"
3846,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, with iron, ready-to-feed, (formerly ROSS)"
3850,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, with iron, ready-to-feed, (formerly ROSS)"
3851,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, with iron, liquid concentrate, not reconstituted, (formerly ROSS)"
3852,300,"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, with iron, powder, not reconstituted, with ARA and DHA"
3853,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, with iron, powder, not reconstituted, (formerly ROSS)"
3854,300,"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, LIPIL, liquid concentrate, not reconstituted, with ARA and DHA"
3855,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, low iron, ready-to-feed, (formerly ROSS)"
3856,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, low iron, liquid concentrate, not reconstituted, (formerly ROSS)"
3857,300,"Infant formula, MEAD JOHNSON, PROSOBEE LIPIL, with iron, ready to feed, with ARA and DHA"
3858,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, low iron, powder, not reconstituted, (formerly ROSS)"
3859,300,"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, ready-to-feed"
3860,300,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, (formerly ROSS)"
3867,300,"Infant formula, NESTLE, GOOD START SOY, with DHA AND ARA, powder"
3868,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFREE, ready-to-feed"
3869,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFREE, with iron, powder, not reconstituted"
3870,300,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber (formerly ROSS)"
3871,300,"Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFREE, with iron, liquid concentrate, not reconstituted"
3880,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, ready-to-feed (formerly WYETH-AYERST)"
3881,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, liquid concentrate, not reconstituted (formerly WYETH-AYERST)"
3883,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, powder, (formerly WYETH-AYERST)"
3890,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, soy, ready-to-feed, (formerly WYETH-AYERST)"
3891,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, soy, liquid concentrate, (formerly WYETH-AYERST)"
3893,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, soy, powder (formerly WYETH-AYERST)"
3900,300,"Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, ready-to-feed"
3901,300,"Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, liquid concentrate, not reconstituted"
3913,300,"Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, powder"
3925,300,"Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, ready-to-feed"
3926,300,"Infant formula, NESTLE, GOOD START ESSENTIALS, soy, with iron, liquid concentrate, not reconstituted"
3928,300,"Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, powder"
3929,300,"Infant formula, MEAD JOHNSON, NEXT STEP PROSOBEE, powder, not reconstituted"
3934,300,"Babyfood, corn and sweet potatoes, strained"
3935,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, ADVANCE, ready-to-feed, with ARA and DHA, (formerly ROSS)"
3936,300,"Infant formula, PBM PRODUCTS, store brand, ready-to-feed (formerly WYETH-AYERST)"
3937,300,"Infant formula, PBM PRODUCTS, store brand, liquid concentrate, not reconstituted (formerly WYETH-AYERST)"
3938,300,"Infant formula, PBM PRODUCTS, store brand, powder, (formerly WYETH-AYERST)"
3939,300,"Infant formula, PBM PRODUCTS, store brand, Soy, ready-to-feed, (formerly WYETH-AYERST)"
3940,300,"Infant formula, PBM PRODUCTS, store brand, Soy, liquid concentrate, not reconstituted (formerly WYETH-AYERST)"
3941,300,"Infant formula, PBM PRODUCTS, store brand, Soy, powder, (formerly WYETH-AYERST)"
3942,300,"Infant formula, MEAD JOHNSON, ENFAMIL, AR LIPIL, ready-to-feed, with ARA and DHA"
3943,300,"Infant formula, MEAD JOHNSON, ENFAMIL, AR LIPIL, powder, with ARA and DHA"
3944,300,"Infant formula, ABBOTT NUTRITION, SIMILAC NEOSURE, ready-to-feed, with ARA and DHA, (formerly ROSS)"
3945,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, NEOSURE, powder, with ARA and DHA (formerly ROSS)"
3946,300,"Infant formula, ABBOTT NUTRTION, SIMILAC, SENSITIVE, (LACTOSE FREE), ready-to-feed, with ARA and DHA, (formerly ROSS)"
3947,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), liquid concentrate, with ARA and DHA, (formerly ROSS)"
3948,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), powder, with ARA and DHA, (formerly ROSS)"
3949,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, ready-to-feed, (formerly ROSS)"
3950,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, powder, not reconstituted, (formerly ROSS)"
3951,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, liquid concentrate, not reconstituted, (formerly ROSS)"
3952,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, liquid concentrate, (formerly ROSS)"
3953,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, ready-to-feed, (formerly ROSS)"
3954,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, powder, not reconstituted, (formerly ROSS)"
3955,300,"Infant Formula, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, ready-to-feed, with ARA and DHA"
3956,300,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA"
3957,300,"Infant formula, ABBOTT NUTRITION, ALIMENTUM ADVANCE, with iron, powder, not reconstituted, with DHA and ARA (formerly ROSS)"
3959,300,"Babyfood, mashed cheddar potatoes and broccoli, toddlers"
3960,300,"Infant formula, NESTLE, GOOD START SUPREME, with iron, DHA and ARA, ready-to-feed"
3963,300,"Infant Formula, MEAD JOHNSON, ENFAMIL GENTLEASE LIPIL, with iron, prepared from powder"
3964,300,"Baby food, fortified cereal bar, fruit filling"
3965,300,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron"
3966,300,"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, liquid concentrate"
4001,400,"Fat, beef tallow"
4002,400,Lard
4015,400,"Salad dressing, russian dressing"
4016,400,"Salad dressing, sesame seed dressing, regular"
4017,400,"Salad dressing, thousand island, commercial, regular"
